accountsservice 26.13.3-1.1
adw-gtk-theme 6.4-1
ags-hyprpanel-git r630.1961ba8-1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5.1
alsa-utils 1.2.15.2-2.1
amd-ucode 1:20260309-1
ani-cli-git r786.8daa4a2-1
antares-sql-bin 0.7.35-1
arp-scan 1.10.0-5.1
awesome-terminal-fonts 1.1.0-5
awww 0.12.0-1.1
aylurs-gtk-shell-git 3.1.2.r0.gbbee2f1-2
base 3-3
base-devel 1-2
basedpyright-bin 1.39.3-1
bash-completion 2.17.0-3
bind 9.20.22-1.1
biome 2.3.15-2
blueman 2.4.6-2.1
bluez 5.86-5.1
bluez-hid2hci 5.86-5.1
bluez-libs 5.86-5.1
bluez-obex 5.86-5.1
bluez-utils 5.86-5.1
brightnessctl 0.5.1-3
btop 1.4.6-2.1
btrfs-progs 6.19.1-1
bun 1.3.11-3
cachyos-fish-config 15-1
cachyos-hello 0.23.2-1
cachyos-hooks 2026.02.05-1
cachyos-kernel-manager 1.17.0-1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 27-1
cachyos-packageinstaller 1.6.2-1
cachyos-plymouth-bootanimation 2-3
cachyos-rate-mirrors 23-1
cachyos-settings 1:1.3.4-2
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
cachyos-wallpapers r23.964263e-1
cachyos-zsh-config 1.0.3-1
cantarell-fonts 1:0.311-1
catppuccin-gtk-theme-mocha 1.0.3-1
chezmoi 2.70.2-1
chromium 147.0.7727.101-1.1
chwd 1.20.1-2
codex-monitor-bin 0.7.67-1
cpupower 7.0-3
cryptsetup 2.8.6-1.1
cups 2:2.4.18-1
cups-filters 2.0.1-2.1
cups-pdf 3.0.2-1.8
dart-sass 1.99.0-1.1
dbeaver 26.0.3-1.1
device-mapper 2.03.39-1.1
diffutils 3.12-2.1
dkms 3.4.0-2
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.92-1.1
docker 1:29.4.0-1.1
docker-buildx 0.33.0-1.1
docker-compose 5.1.3-1.1
dosfstools 4.2-5.1
duf 0.9.1-1.1
e2fsprogs 1.47.4-1.1
earlyoom 1.9.0-1.1
eddie-ui 2.24.6-1
efibootmgr 18-3.1
efitools 1.9.2-7.1
electron30-bin 30.5.1-2
elephant-bin 2.21.0-1
elephant-bitwarden-bin 2.21.0-1
elephant-calc-bin 2.21.0-1
elephant-clipboard-bin 2.21.0-1
elephant-desktopapplications-bin 2.21.0-1
elephant-menus-bin 2.21.0-1
elephant-providerlist-bin 2.21.0-1
elephant-symbols-bin 2.21.0-1
elephant-unicode-bin 2.21.0-1
ethtool 1:6.19-1.1
exfatprogs 1.3.2-1.1
f2fs-tools 1.16.0-3.1
fastfetch 2.61.0-1.1
ffmpegthumbnailer 2.3.0-1.1
firefox 150.0-1
fnm-bin 1.39.0-1
foomatic-db 3:20260209-1
foomatic-db-engine 5:20200131-2.1
foomatic-db-gutenprint-ppds 5.3.5-1.1
foomatic-db-nonfree 3:20260209-1
foomatic-db-nonfree-ppds 3:20260209-1
foomatic-db-ppds 3:20260209-1
fsarchiver 0.8.9-1.1
fuzzel 1.14.1-1.1
gdu 5.35.0-1.1
gh-dash-bin 4.23.2-1
ghostscript 10.07.0-1.1
ghostty 1.3.1-2.2
git 2.54.0-1.1
github-cli 2.91.0-3.1
glab 1.92.1-1.1
glances 4.5.4-1
grammalecte 2.3.0-1
grimblast-git r154.541628c-1
gsfonts 20200910-6
gst-libav 1.28.2-1
gst-plugin-pipewire 1:1.6.4-1.1
gst-plugin-va 1.28.2-1
gst-plugins-bad 1.28.2-1
gst-plugins-ugly 1.28.2-1
gtksourceview3 1:3.24.11+r30+gd880929f-1.1
gutenprint 5.3.5-1.1
gvfs 1.60.0-2
hdparm 9.65-3.1
helium-browser-bin 0.11.3.2-1
hwdetect 2025.08.16.1333-1
hwinfo 25.2-1.1
hyprland 0.54.3-2.1
hyprland-protocols 0.7.0-1.1
hyprlang 0.6.8-3.1
hyprlock 0.9.5-1.1
hyprpicker 0.4.6-3.1
hyprpolkitagent 0.1.3-6.1
hyprsunset 0.3.3-6.1
hyprutils 0.12.0-1.1
ibus 1.5.33-3.1
inetutils 2.7-2.1
iptables 1:1.8.13-1.1
iwd 3.12-1.1
jfsutils 1.1.15-9.1
keyd 2.6.0-5.1
kitty 0.46.2-1.2
lazydocker 0.25.2-1.1
lazygit 0.61.1-1.1
less 1:692-1.1
lib32-mesa 2:26.0.5-2
lib32-opencl-mesa 2:26.0.5-2
lib32-vulkan-radeon 2:26.0.5-2
libastal-niri-git r910.8ebaca7-1
libdvdcss 1.5.0-1.1
libgsf 1.14.56-1.1
libgtop 2.41.3-2.1
libopenraw 0.3.7-2.1
linux-cachyos 7.0.0-1
linux-cachyos-headers 7.0.0-1
linux-cachyos-lts 6.18.22-1
linux-cachyos-lts-headers 6.18.22-1
linux-firmware 1:20260309-1
logrotate 3.22.0-1.1
loupe 50.0-1.1
lsb-release 2.0.r55.a25a4fc-1
lsd 1.2.0-2.1
lsscsi 0.32-2.2
lutgen-studio-bin 0.3.0-1
lutris 0.5.22-1
lvm2 2.03.39-1.1
man-db 2.13.1-1.1
man-pages 6.17-1
maple-mono-nf-cn 7.4-0
matugen-bin 4.1.0-1
mdadm 4.6-2
meld 3.22.3-2
mesa 2:26.0.5-4
mesa-utils 9.0.0-7.1
micro 2.0.15-2.1
mise 2026.3.17-1.1
mkinitcpio 40-5
modemmanager 1.24.2-1.1
mpv 1:0.41.0-3.1
mtools 1:4.0.49-1.1
nano 9.0-1.1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
nautilus 50.1-1.1
neovim-nightly-bin 0.13.0+dev+284+g56fb9ed82d-1
netctl 1.29-2
networkmanager 1.56.0-1
networkmanager-openvpn 1.12.5-1.1
nfs-utils 2.9.1-1.1
nilfs-utils 2.3.0-1.1
niri-git 25.11.r157.g4d21489-1
nmap 7.99-2.1
noto-fonts 1:2026.04.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
nss-mdns 0.15.1-2.1
nushell 0.112.2-1.1
nwg-look 1.0.6-1.1
obs-studio 32.1.1-3.1
obsidian-bin 1.12.7-1
octopi 0.18.1-2
openai-codex-desktop 26.325.31654-1
openbsd-netcat 1.234_2-1.1
opencl-mesa 2:26.0.5-4
opencode 1.14.20-1.1
openssh 10.3p1-1.1
os-prober 1.84-1.1
oxfmt-bin 0.45.0-1
oxlint-bin 1.60.0-1
pacman-contrib 1.13.1-1.2
papirus-icon-theme 20250501-1
paru 2.1.0-2
pavucontrol 1:6.2-1.1
perl 5.42.2-1.1
pi-coding-agent 0.70.2-1
pipewire-alsa 1:1.6.4-1.1
pipewire-pulse 1:1.6.4-1.1
pkgfile 25-2.1
playerctl 2.4.1-5.1
plocate 1.1.24-1.1
plymouth 24.004.60-14.1
polkit-kde-agent 6.6.4-1.1
poppler-glib 26.04.0-1.1
power-profiles-daemon 0.30-3
prettier 3.8.1-1
protonup-qt-bin 2.15.0-1
pv 1.10.5-1.1
pwgen 2.08-3.1
pycharm-community-edition 2026.1-1.2
python 3.14.4-2
python-defusedxml 0.7.1-8
python-gpustat 1:1.1.1-1
